type,setup,punchline,id
programming,Why do programmers always get Christmas and Halloween mixed up?,Because DEC 25 = OCT 31,382
general,What did the digital clock say to the grandfather clock?,"Look, no hands!",169
general,Why did the barber win the race?,He took a short cut.,315
programming,Why do Java programmers wear glasses?,Because they don't C#.,34
general,Did you hear about the cow who jumped over the barbed wire fence?,It was udder destruction.,87
general,What time is it?,I don't know... it keeps changing.,77
general,What type of music do balloons hate?,Pop music!,261
general,Why is seven bigger than nine?,Because seven ate nine.,377
general,How do you make a hankie dance?,Put a little boogie in it.,127
general,What do you call a nervous javelin thrower?,Shakespeare.,211
